Word, Meaning, Pronounciation
علي, on, Alay
عن, regarding, An
ناعم, yes, naAm
لا, no, la
ما, that/what, ma
الأمم, The mother, alummu
الباب, The door, albabu
ريبة, Doubt, raiba
يؤمنون, Believe, yu-minoon
صلاه, Prayer, salah
بما, In what, bima
أولئك, Those, ulaaika
هدم, Guidance, huddam
مِّن, From, min
ٱلْمُفْلِحُونَ, The successful, almuflihoon
إِنَّ, Indeed, inna
أَمْ, or, am
لَمْ, not, lam
هُمْ, They, hum
خَتَمَ, Seal, fatam
قلب, Heart, qalb
بصر, Vision, basarun
عَظِيمٌۭ, Great, Azeemun
مِنَ, of, mina
ٱلنَّاسِ, People, annas
يَقُولُ, Say, yaqulu
اليوم, day, alyaum
إِلَّآ, Except, illa
فِى, in, fih
مَّرَضٌۭ, Disease, marazun
أَلِيمٌۢ, Painful, alaleemu
ٱلْأَرْضِ, Earth  , alardhi
ٱلْمُفْسِدُونَ, The corruptors
كَمَآ, as, kamaa
ٱلسُّفَهَآءُ, fools, assufaha
أَلَآ, Beware, alaa
لَقُوا۟, Meet, laqu
