Word, Meaning, Pronounciation
كلمة, Meaningful word, Kalimah
اسم, Noun, Ism
البيت, The House, albaitu
المسجد, The mosque, almasjidu
القلم, The pen, alkalamu
الكتاب, The book, alkitabu
الجنات, The Garden, aljannatu
الكعبة, The Kaba, alkAbah
الورقة, The Paper, alwaraqah
طغمن, Food, tuagamun
ظل, Shade, zillu
الجسم, The body, aljismu
ورد, Hand, waradu
قميذ, Shirt, Qameezu
الغر, The cave, algauru
الكرسي, The chair, alkursiyu
قدم, Feet, Qadamu
البنت, The girl, albantu
ولد, A boy, waladu
العين, The eye, alAinu
أذن, Ear, Uzunu
المسلم, The Muslim, almuslimu
الكافر, The non-believer, alkafiru
يهودي, Jews, Yahudiyu
فاسقو, disobedient, fasiqu
نصيرو, Helper, Nasiru
شاعر, Poet, shaIru
العليم, The Knowledgable, alAlimu
الجبيل, The ignorant, aljabilu
الجدد, The new, aljadidu
القديم, The old, alqadimu
أسميه, The All hearing, AssameeU
العليم, the All Knowing, alAleemu
فعل, verb, fiIl
الماضي, Perfect tense, almadi
المضارع, Imperfect tense, almadari
الأمر, Imperative tense, alamr
علي, on, Alay
عن, regarding, An
ناعم, yes, naAm
لا, no, la
ما, that/what, ma
الأمم, The mother, alummu
الباب, The door, albabu
ريبة, Doubt, raiba
يؤمنون, Believe, yu-minoon
صلاه, Prayer, salah
بما, In what, bima
أولئك, Those, ulaaika
هدم, Guidance, huddam
مِّن, From, min
ٱلْمُفْلِحُونَ, The successful, almuflihoon
إِنَّ, Indeed, inna
أَمْ, or, am
لَمْ, not, lam
هُمْ, They, hum
خَتَمَ, Seal, fatam
قلب, Heart, qalb
بصر, Vision, basarun
عَظِيمٌۭ, Great, Azeemun
مِنَ, of, mina
ٱلنَّاسِ, People, annas
يَقُولُ, Say, yaqulu
اليوم, day, alyaum
إِلَّآ, Except, illa
فِى, in, fih
مَّرَضٌۭ, Disease, marazun
أَلِيمٌۢ, Painful, alaleemu
ٱلْأَرْضِ, Earh, alardhi
ٱلْمُفْسِدُونَ, The corruptors
كَمَآ, as, kamaa
ٱلسُّفَهَآءُ ۗ, fools, assufaha
أَلَآ, Beware, alaa
لَقُوا۟, Meet, laku
إِذَا, When, iza
مُسْتَهْزِءُونَ, Mockers, musthajium
ٱشْتَرَوُا۟, Bought, istharawu
ٱسْتَوْقَدَ, kindled, istauqada
نَارًۭا, A fire, Naaran
